type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
white,6.0,0.33,0.38,0.5384615384615384,0.3229166666666667,0.3684210526315789,0.466403162055336,0.9954,3.47,0.48,0.48387096774193555,6
white,8.0,0.25,0.49,0.49704142011834324,0.3645833333333333,0.39473684210526316,0.7075098814229249,0.998,3.34,0.49,0.32258064516129037,6
red,8.3,0.34,0.4,0.10650887573964497,0.5833333333333334,0.3026315789473684,0.16600790513833993,0.99554,3.34,0.86,0.48387096774193555,6
white,8.2,0.2,0.36,0.44378698224852076,0.27083333333333337,0.7763157894736842,0.6205533596837944,0.9952,3.05,0.3,0.37096774193548404,6
red,8.2,0.64,0.27,0.08284023668639054,0.8958333333333334,0.05263157894736842,0.28063241106719367,0.99747,3.13,0.62,0.17741935483870963,6
red,6.8,0.68,0.09,0.1952662721893491,0.6145833333333334,0.18421052631578946,0.09090909090909091,0.99524,3.41,0.52,0.5,4
white,6.6,0.34,0.24,0.15976331360946747,0.2604166666666667,0.3684210526315789,0.3675889328063241,0.99031,3.1,0.4,0.6935483870967744,7
red,11.9,0.58,0.58,0.07692307692307691,0.6458333333333333,0.05263157894736842,0.04743083003952569,0.998,3.09,0.63,0.32258064516129037,6
white,8.4,0.29,0.29,0.02662721893491125,0.23958333333333331,0.039473684210526314,0.19367588932806323,0.9908,2.91,0.32,0.5483870967741936,4
white,6.6,0.295,0.24,0.0591715976331361,0.3125,0.3684210526315789,0.5296442687747036,0.99304,3.35,0.61,0.3870967741935485,7
red,8.4,1.035,0.15,0.31952662721893493,0.6666666666666666,0.13157894736842105,0.18972332015810275,0.999,3.37,0.49,0.3064516129032259,5
white,6.4,0.17,0.34,0.053254437869822494,0.8541666666666666,0.5394736842105263,0.5098814229249012,0.9938,3.25,0.49,0.25806451612903225,7
red,9.8,0.45,0.38,0.11242603550295859,0.7500000000000001,0.4342105263157895,0.23715415019762845,0.99726,3.15,0.58,0.2903225806451614,5
white,6.0,0.32,0.3,0.07692307692307691,0.25,0.5263157894736842,0.5375494071146245,0.98912,3.29,0.42,0.774193548387097,7
white,5.8,0.3,0.27,0.06508875739644972,0.05208333333333334,0.5789473684210527,0.38735177865612647,0.98914,3.4,0.56,0.7419354838709677,7
white,6.9,0.29,0.41,0.42603550295857995,0.38541666666666663,0.6710526315789473,0.6521739130434783,0.99537,3.12,0.51,0.25806451612903225,5
red,8.3,0.28,0.48,0.08875739644970415,0.875,0.06578947368421052,0.023715415019762844,0.99408,3.26,0.62,0.7096774193548389,7
red,7.6,0.43,0.31,0.08875739644970415,0.625,0.15789473684210525,0.26877470355731226,0.9958,3.26,0.54,0.3064516129032259,6
red,12.2,0.45,0.49,0.047337278106508875,0.6875,0.02631578947368421,0.0,0.9969,3.13,0.63,0.3870967741935485,5
white,6.6,0.36,0.21,0.053254437869822494,0.4166666666666667,0.5,0.7035573122529645,0.9928,3.18,0.41,0.3064516129032259,6
white,6.6,0.34,0.4,0.44378698224852076,0.38541666666666663,0.881578947368421,0.6482213438735178,0.99494,3.15,0.5,0.2473118279032258,6
white,7.5,0.33,0.39,0.698224852071006,0.5833333333333334,0.3684210526315789,0.44664031620553357,0.9974,3.16,0.39,0.2258064516129033,5
white,6.8,0.27,0.49,0.03550295857988166,0.3645833333333333,0.4473684210526316,0.4743083003952569,0.99,3.13,0.48,0.6612903225806451,7
white,6.2,0.28,0.41,0.26035502958579887,0.35416666666666663,0.6447368421052632,0.7193675889328063,0.99318,3.23,0.64,0.4516129032258066,6
white,6.1,0.27,0.31,0.053254437869822494,0.27083333333333337,0.21052631578947367,0.30434782608695654,0.99076,3.32,0.44,0.5,7
white,7.0,0.34,0.1,0.1715976331360947,0.3645833333333333,0.21052631578947367,0.22529644268774704,0.9937,3.01,0.39,0.1935483870967741,5
white,6.3,0.24,0.37,0.07100591715976333,0.22916666666666666,0.06578947368421052,0.21739130434782608,0.9897,3.3,0.34,0.6774193548387096,4
white,7.1,0.28,0.19,0.42603550295857995,0.3229166666666667,0.618421052631579,0.7035573122529645,0.99579,3.16,0.5,0.2258064516129033,5
